lat,lon,amenity
7.715597,4.489923,clinic
6.728299,2.779471,hospital
6.687379,2.766235,pharmacy
6.631175,2.736345,pharmacy
6.637022,2.735577,clinic
6.644647,2.737558,clinic
6.646518,2.744063,hospital
6.561213,2.753711,doctors
6.67295,2.753308,clinic
6.352799,2.795116,clinic
6.555521,2.742864,pharmacy
6.537926,2.73156,clinic
6.532459,2.712493,clinic
13.628466,13.250091,clinic
12.827832,11.559174,clinic
12.467709,11.678487,clinic
12.807186,11.419398,clinic
9.064909,7.424656,clinic
9.065223,7.427674,pharmacy
6.686092,3.247768,hospital
12.507631,11.674065,clinic
13.245104,13.10297,doctors
11.154571,7.652131,hospital
10.804381,12.75046,hospital
11.698833,9.085975,clinic
9.104024,7.492527,pharmacy
9.077687,7.499636,pharmacy
12.61422,5.223097,clinic
12.826495,4.89488,doctors
13.054354,5.236272,clinic
13.167352,5.451384,clinic
13.393021,5.602287,clinic
13.690841,5.723476,doctors
6.448741,3.430776,pharmacy
6.448194,3.430473,clinic
5.558098,5.800188,pharmacy
13.376083,11.011599,clinic
13.293251,12.59494,clinic
6.429915,3.452512,pharmacy
6.592971,3.397454,hospital
6.457865,3.394401,clinic
6.463418,3.392701,clinic
6.465323,3.390151,clinic
9.280182,12.443967,hospital
9.415593,12.144909,hospital
9.452523,12.046332,hospital
10.544906,7.446891,pharmacy
10.533607,7.452101,pharmacy
10.532658,7.45209,pharmacy
10.532177,7.452209,pharmacy
10.530057,7.455481,clinic
6.46014,3.385077,clinic
6.459315,3.382036,clinic
6.30439,5.594011,pharmacy
6.304252,5.59397,pharmacy
6.436278,3.451076,pharmacy
6.43595,3.451442,pharmacy
7.846742,5.926573,clinic
4.881928,7.136253,clinic
5.546994,5.774106,clinic
5.564437,5.762139,clinic
5.548992,5.776396,clinic
5.547536,5.773724,clinic
5.5922,5.705926,clinic
5.590479,5.708187,clinic
5.093015,6.645076,hospital
4.954014,6.34707,clinic
4.953817,6.349013,clinic
4.951773,6.34883,clinic
4.949765,6.338313,clinic
4.943493,6.333847,clinic
4.951609,6.341864,clinic
4.937677,6.331817,clinic
4.941412,6.328444,clinic
4.942863,6.326153,clinic
4.936227,6.321046,hospital
5.553261,5.783041,pharmacy
5.58333,5.714036,clinic
5.541138,5.762659,clinic
5.543818,5.7844,clinic
5.555395,5.778347,clinic
5.559719,5.776351,clinic
11.594115,13.580379,hospital
5.567857,5.773471,clinic
5.563512,5.775709,clinic
5.542559,5.775894,clinic
5.564209,5.765703,clinic
5.560425,5.780539,clinic
5.588871,5.70769,clinic
5.566982,5.780537,clinic
5.536265,5.760118,clinic
5.532591,6.062463,clinic
5.538043,5.762027,clinic
5.541864,5.756658,clinic
5.536269,5.761149,clinic
5.535562,5.758032,clinic
5.542639,5.765309,clinic
5.539122,5.749434,clinic
5.534068,5.747826,clinic
5.532476,5.759334,clinic
5.531151,5.747231,clinic
5.529309,5.752426,clinic
5.531303,5.749512,clinic
4.826784,7.015179,clinic
4.830802,7.061472,clinic
4.830227,7.071365,clinic
4.826108,7.049542,clinic
4.849812,7.063305,clinic
4.830935,7.025547,clinic
4.836651,7.03143,clinic
4.834643,7.02785,pharmacy
4.83438,7.027787,clinic
4.833964,7.02855,clinic
4.833988,7.02836,clinic
4.833944,7.026852,clinic
4.841362,7.033862,clinic
4.836614,7.033682,clinic
4.825127,7.050557,pharmacy
4.847378,7.047963,clinic
4.838176,7.033091,clinic
4.828252,7.037552,clinic
4.850404,7.062589,clinic
5.031708,7.93243,pharmacy
11.834779,13.087655,hospital
11.878803,13.132794,clinic
8.990146,7.503831,pharmacy
6.613858,3.358141,pharmacy
6.438533,3.43202,pharmacy
12.988717,7.584463,hospital
13.051754,5.245717,hospital
6.53988,3.313128,pharmacy
6.540818,3.29963,pharmacy
6.541133,3.310213,clinic
13.050313,5.246328,hospital
13.05019,5.246044,hospital
13.050291,5.245915,hospital
13.05069,5.245998,hospital
13.050862,5.246027,hospital
