subregion,nemis_pre_schools,nemis_pre_enrol,nemis_pre_pupil_per_school,nemis_pre_public_pct,nemis_pre_rural_pct,nemis_primary_schools,nemis_primary_enrol,nemis_primary_pupil_per_school,nemis_primary_public_pct,nemis_primary_rural_pct,nemis_jss_schools,nemis_jss_enrol,nemis_jss_pupil_per_school,nemis_jss_public_pct,nemis_jss_rural_pct,nemis_sss_schools,nemis_sss_enrol,nemis_sss_pupil_per_school,nemis_sss_public_pct,nemis_sss_rural_pct,nemis_total_schools,nemis_total_enrol,nemis_public_pct,nemis_rural_pct
Katsina,2532.0,294705.0,116.39218009478672,79.2259083728278,74.80252764612955,3335.0,2137905.0,641.0509745127437,84.25787106446776,80.02998500749625,637,386397.0,607.5424528301887,50.39246467817896,56.828885400313965,421,248999.0,591.4465558194775,58.432304038004744,55.819477434679335,6925.0,3068006.0,68.07713703836981,66.87021887215478
Kebbi,678.0,54956.0,102.7214953271028,68.73156342182891,55.604719764011804,2100.0,606607.0,289.1358436606292,87.38095238095238,80.80952380952381,383,166029.0,434.630890052356,67.62402088772846,51.43603133159269,259,111709.0,434.6653696498054,66.40926640926641,42.857142857142854,3420.0,939301.0,72.53645077494404,57.67685444056779
Kogi,1033.0,52149.0,50.82748538011696,24.298160696999034,57.30880929332043,2811.0,335254.0,124.39851576994434,72.28744219139097,74.17289220917823,881,76451.0,87.67316513761467,60.38592508513053,67.19636776390465,519,54831.0,106.6750972762646,53.75722543352601,70.71290944123314,5244.0,518685.0,52.68218835176163,67.34774467690912
Kwara,2022.0,108760.0,53.84158415841584,44.65875370919881,45.153313550939664,2691.0,270038.0,100.49795310755489,58.71423262727611,58.60274990709773,854,129733.0,152.80683156654888,55.97189695550351,42.50585480093677,639,101356.0,159.36477987421384,58.84194053208138,43.66197183098591,6206.0,609887.0,54.54670595601495,47.48097252249002
Lagos,1015.0,58911.0,59.74746450304259,100.0,18.226600985221676,1015.0,389568.0,384.18934911242604,100.0,28.177339901477833,353,374717.0,1067.5698005698005,100.0,17.847025495750707,328,255567.0,779.1676829268292,100.0,21.036585365853657,2711.0,1078763.0,100.0,21.321887937075967
Nasarawa,1817.0,142913.0,78.82680639823496,11.282333516785911,50.79801871216291,3017.0,458003.0,157.28125,46.43685780576732,67.51740139211137,1037,117378.0,114.73900293255132,38.1870781099325,51.97685631629702,943,79798.0,85.0724946695096,32.0254506892895,49.73488865323436,6814.0,798092.0,31.982930030443807,55.00679126845141
Niger,1768.0,160718.0,91.00679501698754,37.2737556561086,53.959276018099544,4547.0,931404.0,204.92937293729372,64.98790411260171,78.22740268308776,942,207971.0,220.776008492569,41.082802547770704,54.35244161358811,524,166149.0,317.07824427480915,46.56488549618321,51.717557251908396,7781.0,1466242.0,47.47733695316606,59.56416939167095
Ogun,4709.0,199115.0,45.75252757352941,30.452325334465918,45.678488001698874,4709.0,635065.0,137.0446698316789,30.452325334465918,45.678488001698874,1377,362551.0,264.0575382374363,24.618736383442265,49.673202614379086,1209,278456.0,275.9722497522299,14.309346567411083,45.82299421009098,12004.0,1475187.0,24.958183404946297,46.71329320696695
Ondo,3107.0,253276.0,143.41789354473386,41.42259414225941,57.38654650788541,3108.0,853577.0,482.2468926553672,41.40926640926641,57.432432432432435,789,142580.0,297.0416666666667,40.68441064638783,54.1191381495564,789,50106.0,121.91240875912409,39.79721166032953,54.1191381495564,7793.0,1299539.0,40.8283707145608,55.76431380985766
Oyo,6434.0,549101.0,85.4631906614786,36.695679204227545,35.79421821572894,6475.0,1951446.0,301.8011135168574,39.181467181467184,36.92664092664092,1844,341693.0,188.46828461114174,31.073752711496745,29.392624728850326,1551,288673.0,188.79856115107913,36.55705996131528,28.755641521598967,16304.0,3130913.0,35.876989764626686,32.717281348204786
Plateau,1439.0,117203.0,87.59566517189836,80.47255038220987,84.43363446838083,2490.0,397129.0,179.45277903298688,88.51405622489959,89.35742971887551,753,99917.0,133.04527296937417,43.559096945551126,75.1660026560425,382,39978.0,104.92913385826772,5.49738219895288,72.25130890052355,5064.0,654227.0,54.51077143790337,80.3020939359556
Rivers,3005.0,203600.0,72.14741318214033,20.399334442595674,41.663893510815306,3310.0,387219.9,122.18993373303883,29.09365558912387,46.314199395770395,1285,228075.0,212.668219944082,25.214007782101167,36.03112840466926,836,203881.0,251.39457459926018,34.569377990430624,44.85645933014354,8436.0,1022775.9,27.319093951062833,42.21642016034963
Sokoto,794.0,97949.0,123.36146095717883,73.9294710327456,59.57178841309824,2270.0,925920.0,407.8942731277533,90.70484581497797,81.85022026431719,393,139813.0,356.6658163265306,72.51908396946564,48.346055979643765,208,98534.0,473.72115384615387,63.46153846153846,42.30769230769231,3665.0,1262216.0,75.15373481968192,58.01893924118788
Taraba,842.0,73161.0,86.8895486935867,19.358669833729216,50.712589073634206,3116.0,804657.0,258.31685393258425,73.29910141206675,81.73940949935815,809,103154.0,128.4607721046077,37.20642768850433,56.36588380716935,599,76022.0,127.98316498316498,44.574290484140235,57.095158597662774,5366.0,1056994.0,43.60962235461014,61.47826024445612
Yobe,404.0,28926.0,109.15471698113207,85.64356435643565,73.01980198019803,1194.0,611892.0,512.4723618090452,91.95979899497488,79.5644891122278,243,120438.0,497.6776859504132,58.0246913580247,45.67901234567901,139,66954.0,481.68345323741005,29.496402877697843,18.705035971223023,1980.0,828210.0,66.28111439678327,54.24208485233196
Zamfara,612.0,49290.0,112.27790432801822,70.91503267973856,58.496732026143796,1798.0,625462.0,348.0589872008904,88.65406006674083,80.53392658509455,325,113636.0,356.2257053291536,54.46153846153846,36.92307692307693,266,82319.0,317.8339768339768,57.89473684210527,40.225563909774436,3001.0,870707.0,67.98134201253077,54.044824861022434
