WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2024-06-15,Western Africa,Nigeria,Abia,Explosions/Remote violence,Air/drone strike,1,0,94718.0,Political violence,2129.0,5.433,7.4937
2024-06-22,Western Africa,Nigeria,Abia,Explosions/Remote violence,Air/drone strike,1,0,94718.0,Political violence,2129.0,5.433,7.4937
2024-07-20,Western Africa,Nigeria,Abia,Explosions/Remote violence,Air/drone strike,2,0,56902.0,Political violence,2129.0,5.433,7.4937
2024-09-07,Western Africa,Nigeria,Abia,Explosions/Remote violence,Air/drone strike,2,0,49722.0,Political violence,2129.0,5.433,7.4937
2002-08-24,Western Africa,Nigeria,Abia,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,,Political violence,2129.0,5.433,7.4937
2018-03-24,Western Africa,Nigeria,Abia,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,113576.0,Political violence,2129.0,5.433,7.4937
2018-05-19,Western Africa,Nigeria,Abia,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,355205.0,Political violence,2129.0,5.433,7.4937
2021-03-27,Western Africa,Nigeria,Abia,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,363283.0,Political violence,2129.0,5.433,7.4937
2016-01-16,Western Africa,Nigeria,Abia,Protests,Excessive force against protesters,1,8,25826.0,Political violence; Demonstrations,2129.0,5.433,7.4937
2016-02-06,Western Africa,Nigeria,Abia,Protests,Excessive force against protesters,1,6,25826.0,Political violence; Demonstrations,2129.0,5.433,7.4937
2016-05-28,Western Africa,Nigeria,Abia,Protests,Excessive force against protesters,1,0,26600.0,Political violence; Demonstrations,2129.0,5.433,7.4937
2017-09-09,Western Africa,Nigeria,Abia,Protests,Excessive force against protesters,1,2,27239.0,Political violence; Demonstrations,2129.0,5.433,7.4937
2018-05-26,Western Africa,Nigeria,Abia,Protests,Excessive force against protesters,1,1,27133.0,Political violence; Demonstrations,2129.0,5.433,7.4937
2019-01-19,Western Africa,Nigeria,Abia,Protests,Excessive force against protesters,1,0,28520.0,Political violence; Demonstrations,2129.0,5.433,7.4937
2023-03-25,Western Africa,Nigeria,Abia,Protests,Excessive force against protesters,1,5,30091.0,Political violence; Demonstrations,2129.0,5.433,7.4937
2024-05-18,Western Africa,Nigeria,Abia,Protests,Excessive force against protesters,1,0,12138.0,Political violence; Demonstrations,2129.0,5.433,7.4937
2005-01-22,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,,Demonstrations,2129.0,5.433,7.4937
2005-07-09,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,,Demonstrations,2129.0,5.433,7.4937
2009-06-20,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,,Demonstrations,2129.0,5.433,7.4937
2010-01-23,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,,Demonstrations,2129.0,5.433,7.4937
2012-10-06,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,,Demonstrations,2129.0,5.433,7.4937
2013-08-10,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,,Demonstrations,2129.0,5.433,7.4937
2014-10-11,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,,Demonstrations,2129.0,5.433,7.4937
2015-02-07,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,25979.0,Demonstrations,2129.0,5.433,7.4937
2015-02-28,Western Africa,Nigeria,Abia,Protests,Peaceful protest,2,0,25979.0,Demonstrations,2129.0,5.433,7.4937
2015-03-28,Western Africa,Nigeria,Abia,Protests,Peaceful protest,2,0,51196.0,Demonstrations,2129.0,5.433,7.4937
2015-04-04,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,25979.0,Demonstrations,2129.0,5.433,7.4937
2015-05-02,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,826.0,Demonstrations,2129.0,5.433,7.4937
2015-05-30,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,25217.0,Demonstrations,2129.0,5.433,7.4937
2015-06-13,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,25217.0,Demonstrations,2129.0,5.433,7.4937
2015-10-17,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,25979.0,Demonstrations,2129.0,5.433,7.4937
2015-11-07,Western Africa,Nigeria,Abia,Protests,Peaceful protest,4,0,61197.0,Demonstrations,2129.0,5.433,7.4937
2015-11-14,Western Africa,Nigeria,Abia,Protests,Peaceful protest,2,0,51196.0,Demonstrations,2129.0,5.433,7.4937
2015-12-26,Western Africa,Nigeria,Abia,Protests,Peaceful protest,4,0,52426.0,Demonstrations,2129.0,5.433,7.4937
2016-01-02,Western Africa,Nigeria,Abia,Protests,Peaceful protest,8,0,65904.0,Demonstrations,2129.0,5.433,7.4937
2016-02-06,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,26600.0,Demonstrations,2129.0,5.433,7.4937
2016-04-30,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,25826.0,Demonstrations,2129.0,5.433,7.4937
2016-05-07,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,25826.0,Demonstrations,2129.0,5.433,7.4937
2016-06-25,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,26600.0,Demonstrations,2129.0,5.433,7.4937
2016-09-10,Western Africa,Nigeria,Abia,Protests,Peaceful protest,2,0,52426.0,Demonstrations,2129.0,5.433,7.4937
2016-09-17,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,21077.0,Demonstrations,2129.0,5.433,7.4937
2016-09-24,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,25826.0,Demonstrations,2129.0,5.433,7.4937
2016-10-01,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,25826.0,Demonstrations,2129.0,5.433,7.4937
2016-10-29,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,10209.0,Demonstrations,2129.0,5.433,7.4937
2017-02-11,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,23389.0,Demonstrations,2129.0,5.433,7.4937
2017-03-11,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,27239.0,Demonstrations,2129.0,5.433,7.4937
2017-03-25,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,15070.0,Demonstrations,2129.0,5.433,7.4937
2017-04-08,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,27239.0,Demonstrations,2129.0,5.433,7.4937
2017-04-22,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,26470.0,Demonstrations,2129.0,5.433,7.4937
2017-05-13,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,18532.0,Demonstrations,2129.0,5.433,7.4937
2017-08-26,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,27239.0,Demonstrations,2129.0,5.433,7.4937
2018-04-07,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,27133.0,Demonstrations,2129.0,5.433,7.4937
2018-04-14,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,27133.0,Demonstrations,2129.0,5.433,7.4937
2018-08-11,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,27892.0,Demonstrations,2129.0,5.433,7.4937
2018-09-29,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,27133.0,Demonstrations,2129.0,5.433,7.4937
2018-11-24,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,27892.0,Demonstrations,2129.0,5.433,7.4937
2019-01-05,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,28520.0,Demonstrations,2129.0,5.433,7.4937
2019-04-06,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,28520.0,Demonstrations,2129.0,5.433,7.4937
2019-05-18,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,16278.0,Demonstrations,2129.0,5.433,7.4937
2019-06-08,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,28520.0,Demonstrations,2129.0,5.433,7.4937
2019-06-15,Western Africa,Nigeria,Abia,Protests,Peaceful protest,3,0,59805.0,Demonstrations,2129.0,5.433,7.4937
2019-06-29,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,28520.0,Demonstrations,2129.0,5.433,7.4937
2019-08-03,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,28520.0,Demonstrations,2129.0,5.433,7.4937
2019-08-24,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,28520.0,Demonstrations,2129.0,5.433,7.4937
2019-08-31,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,28520.0,Demonstrations,2129.0,5.433,7.4937
2019-09-07,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,27755.0,Demonstrations,2129.0,5.433,7.4937
2019-10-05,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,27755.0,Demonstrations,2129.0,5.433,7.4937
2019-10-12,Western Africa,Nigeria,Abia,Protests,Peaceful protest,2,0,29833.0,Demonstrations,2129.0,5.433,7.4937
2020-01-18,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,29109.0,Demonstrations,2129.0,5.433,7.4937
2020-01-25,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,12315.0,Demonstrations,2129.0,5.433,7.4937
2020-02-01,Western Africa,Nigeria,Abia,Protests,Peaceful protest,3,0,73566.0,Demonstrations,2129.0,5.433,7.4937
2020-02-22,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,28365.0,Demonstrations,2129.0,5.433,7.4937
2020-06-06,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,29109.0,Demonstrations,2129.0,5.433,7.4937
2020-06-13,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,2722.0,Demonstrations,2129.0,5.433,7.4937
2020-07-25,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,23098.0,Demonstrations,2129.0,5.433,7.4937
2020-08-08,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,28365.0,Demonstrations,2129.0,5.433,7.4937
2020-08-15,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,3744.0,Demonstrations,2129.0,5.433,7.4937
2020-09-05,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,28365.0,Demonstrations,2129.0,5.433,7.4937
2020-09-12,Western Africa,Nigeria,Abia,Protests,Peaceful protest,2,0,29109.0,Demonstrations,2129.0,5.433,7.4937
2020-09-26,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,29109.0,Demonstrations,2129.0,5.433,7.4937
2020-10-10,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,29109.0,Demonstrations,2129.0,5.433,7.4937
2020-10-17,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,29109.0,Demonstrations,2129.0,5.433,7.4937
2020-10-24,Western Africa,Nigeria,Abia,Protests,Peaceful protest,2,0,29109.0,Demonstrations,2129.0,5.433,7.4937
2021-01-09,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,16462.0,Demonstrations,2129.0,5.433,7.4937
2021-02-06,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,11868.0,Demonstrations,2129.0,5.433,7.4937
2021-02-27,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,29692.0,Demonstrations,2129.0,5.433,7.4937
2021-03-13,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,29692.0,Demonstrations,2129.0,5.433,7.4937
2021-05-29,Western Africa,Nigeria,Abia,Protests,Peaceful protest,2,0,58638.0,Demonstrations,2129.0,5.433,7.4937
2021-06-05,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,16462.0,Demonstrations,2129.0,5.433,7.4937
2021-07-17,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,8716.0,Demonstrations,2129.0,5.433,7.4937
2021-08-14,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,6824.0,Demonstrations,2129.0,5.433,7.4937
2021-10-02,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,29692.0,Demonstrations,2129.0,5.433,7.4937
2021-11-20,Western Africa,Nigeria,Abia,Protests,Peaceful protest,2,0,53254.0,Demonstrations,2129.0,5.433,7.4937
2022-01-22,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,2836.0,Demonstrations,2129.0,5.433,7.4937
2022-04-02,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,30282.0,Demonstrations,2129.0,5.433,7.4937
2022-04-16,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,30282.0,Demonstrations,2129.0,5.433,7.4937
2022-04-23,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,30282.0,Demonstrations,2129.0,5.433,7.4937
2022-04-30,Western Africa,Nigeria,Abia,Protests,Peaceful protest,2,0,30282.0,Demonstrations,2129.0,5.433,7.4937
2022-05-14,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,2184.0,Demonstrations,2129.0,5.433,7.4937
2022-05-28,Western Africa,Nigeria,Abia,Protests,Peaceful protest,2,0,48025.0,Demonstrations,2129.0,5.433,7.4937
2022-06-04,Western Africa,Nigeria,Abia,Protests,Peaceful protest,2,0,30282.0,Demonstrations,2129.0,5.433,7.4937
2022-06-25,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,3272.0,Demonstrations,2129.0,5.433,7.4937
2022-07-02,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,30282.0,Demonstrations,2129.0,5.433,7.4937
2022-07-23,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,30282.0,Demonstrations,2129.0,5.433,7.4937
2022-07-30,Western Africa,Nigeria,Abia,Protests,Peaceful protest,1,0,29519.0,Demonstrations,2129.0,5.433,7.4937
