lat,lon,amenity
7.447377,4.030639,school
6.28359,5.567733,school
5.017407,6.394984,school
5.526333,5.757272,school
5.529388,5.733349,school
5.507728,5.831676,school
5.507854,5.831384,school
5.507129,5.831122,school
7.505538,4.524461,university
10.55703,13.317803,kindergarten
4.858659,6.967675,school
4.855752,6.972364,school
10.842823,7.560993,school
5.971618,8.358294,school
5.416948,6.948117,school
13.540454,4.843208,school
12.306753,4.48932,university
7.492648,4.556148,school
7.494076,4.553075,school
4.959446,6.364371,school
4.924792,6.92209,school
6.730797,3.414299,school
11.244601,12.01375,school
12.320502,7.862852,school
12.503002,7.740057,school
11.804309,13.139272,school
11.805569,13.139629,school
11.805568,13.135678,school
6.16557,8.298572,school
4.862025,6.928609,school
4.864561,6.928665,school
4.865431,6.932131,school
8.314749,6.586398,school
6.131894,8.143583,university
6.133989,8.147001,university
6.155031,8.144583,school
6.156711,8.135329,school
9.846987,11.178971,school
7.667007,6.701576,school
9.896046,11.22241,school
6.538357,3.259858,school
6.532362,3.262341,school
10.590636,7.473869,school
6.203752,6.553126,school
6.203281,6.547563,school
5.57919,5.824217,school
6.224829,6.57136,school
7.431472,2.785139,school
11.726565,9.36323,school
4.877033,6.985305,childcare
7.534597,5.768448,school
7.532746,5.766323,school
7.252832,2.754742,school
6.072538,7.019332,school
6.084464,7.021945,school
4.899663,6.903959,school
6.382766,5.679902,school
5.525219,7.262114,school
5.524146,7.262974,school
5.522776,7.265189,school
5.494596,7.196712,school
7.888511,4.32238,school
9.881398,7.957553,school
9.894928,7.951385,school
9.893707,7.951943,school
9.893348,7.952801,school
7.896912,4.319421,school
9.091759,7.377686,school
6.432979,7.522475,school
8.15898,4.248019,school
8.132355,4.232497,school
8.154086,4.255027,school
8.159828,4.258474,college
8.164312,4.257713,school
8.142257,4.241759,school
8.147396,4.242202,college
8.160543,4.24543,school
8.135791,4.234967,school
8.142825,4.252833,school
8.141126,4.25131,school
8.145422,4.243324,college
8.154474,4.229205,college
8.140375,4.248784,kindergarten
8.135846,4.211247,college
12.996678,5.214263,school
9.759714,8.860644,school
9.756285,8.861263,school
5.171211,7.728487,school
5.17178,7.72749,school
8.360516,4.432141,school
9.151589,7.627644,school
9.607515,6.551729,college
9.606592,6.551762,college
9.195876,7.62485,school
9.18706,7.628849,school
9.174802,7.67911,school
9.172683,7.683571,school
7.485862,3.913283,school
6.494304,3.393481,kindergarten
6.495643,3.388309,school
6.495404,3.38838,school
6.494686,3.387578,school
6.495713,3.388116,school
7.392191,3.862492,school
6.625984,3.312411,school
4.714184,5.942304,school
4.718174,5.944724,school
9.01505,7.586754,childcare
12.510377,8.654703,school
12.508644,8.655491,school
12.508762,8.655464,school
12.374398,8.566972,school
13.024155,5.189852,school
11.197798,8.807346,school
11.205773,8.80482,school
9.090401,7.207212,school
10.304987,11.175339,university
10.303376,11.174665,college
10.30375,11.175129,college
10.305297,11.17128,college
10.305536,11.172058,college
10.304152,11.174353,childcare
10.30607,11.174213,school
10.300673,11.174272,school
10.30809,11.173093,college
10.306036,11.173712,college
10.306011,11.173111,college
10.305983,11.174546,school
10.306492,11.172298,college
10.306318,11.173114,college
10.305364,11.17098,college
10.306066,11.171441,college
10.305646,11.171581,college
10.305262,11.171586,college
10.296494,11.173958,school
10.300285,11.172837,school
10.299062,11.172415,school
10.319148,11.160775,school
10.309241,11.178119,school
10.315145,11.148224,school
10.306377,11.174511,college
10.306473,11.174285,college
10.287629,11.151902,school
10.304457,11.175113,college
10.290358,11.053318,school
6.592096,3.227515,school
6.460641,3.168405,school
6.460406,3.167536,school
10.285442,11.184632,school
10.289785,11.079959,school
10.288163,11.080259,school
6.812429,3.196775,school
6.736948,6.303536,school
9.310556,7.240481,school
9.311646,7.242208,university
9.24232,7.27691,university
9.250223,7.163129,university
9.068432,7.428698,school
6.320646,5.638888,school
10.812983,7.546312,school
10.809379,7.548409,school
10.81136,7.543973,school
7.260984,5.177583,school
7.252493,5.179355,school
11.846908,13.148924,school
11.845684,13.150302,school
11.84486,13.150758,school
7.258518,5.218756,school
7.261343,5.220516,school
7.253033,5.209987,school
7.419403,3.934207,school
4.933616,6.283081,school
4.710473,6.092504,school
5.150546,6.194089,college
7.678163,4.460089,college
8.167315,4.267042,college
5.205435,6.20655,school
5.100167,6.066092,college
4.436658,7.171608,school
4.825644,7.081831,school
7.541928,4.470377,college
5.574672,5.797596,college
4.43719,7.16573,school
4.833614,6.994701,school
4.939326,6.357821,school
4.861495,6.37339,school
5.13061,6.171487,college
8.166756,4.268041,college
5.100773,6.066533,college
4.933944,6.283508,school
7.104266,4.818371,school
5.488974,5.792392,school
8.843162,7.906626,school
8.565634,7.725123,college
8.545848,8.53528,college
7.203856,8.153506,school
7.621138,4.192088,school
10.919937,11.48231,school
10.916651,11.46684,school
6.8217,3.9258,school
6.8255,3.9099,school
6.820747,3.926998,school
6.504479,3.10131,school
6.8322,3.9319,school
6.8164,3.9322,school
6.8564,3.6447,school
6.6371,3.3857,school
6.812779,3.926568,school
6.816,3.9296,school
6.823492,3.912532,school
6.8192,3.9209,school
6.819,3.9208,school
6.8094,3.9189,school
6.8315,3.9354,school
6.8357,3.6589,school
6.5408,3.0864,school
6.820492,3.233139,school
6.8307,3.6304,school
6.6609,3.0921,school
6.8083,3.1932,school
6.830154,3.633543,school
6.850647,3.634156,school
6.819127,3.156701,school
6.8529,3.5264,school
6.8471,3.6358,school
6.736883,3.260335,school
6.8276,3.6435,school
6.8106,3.1887,school
6.681651,3.352057,school
6.8301,3.9191,school
6.7034,3.2711,school
6.760496,3.528063,school
6.8513,3.6416,school
6.806939,3.202778,school
6.691,3.2361,school
6.851338,3.630168,school
6.809723,3.919314,school
6.8101,3.9193,school
6.7298,3.2852,school
6.818,3.6346,school
6.6798,3.3688,school
6.8138,3.1075,school
6.7397,3.2164,school
6.742477,3.254673,school
6.690137,3.23837,school
6.77269,3.49381,school
6.813,3.1886,school
6.7031,3.271,school
6.7469,3.2934,school
6.8131,3.1892,school
6.8342,3.6574,school
6.8468,3.6359,school
6.8112,3.1814,school
6.8472,3.6364,school
6.7238,3.3417,school
6.8755,3.317,school
6.8517,3.641,school
6.752,3.2114,school
6.8524,3.651,school
6.802571,3.200609,school
6.8471,3.6546,school
6.53415,3.13239,school
6.64093,3.05246,school
6.68758,3.33173,school
6.61002,3.11814,school
6.72573,3.99916,school
6.52878,3.13421,school
6.58891,2.94241,school
6.57342,3.1502,school
6.60335,3.19633,school
6.59097,3.0686,school
6.54101,3.01186,school
6.52639,3.14203,school
6.59444,2.935,school
6.67424,3.05746,school
6.53054,3.1365,school
6.72399,3.21893,school
6.72213,3.28811,school
6.60931,2.99372,school
6.67535,3.12619,school
6.75462,3.22969,school
6.59152,2.94476,school
6.68327,3.23728,school
6.753151,3.600671,school
6.5916,2.94218,school
6.708917,3.236951,school
6.59193,2.93898,school
