subregion,nbs_floor_earth_pct,nbs_floor_finished_pct,nbs_water_improved_pct,nbs_water_far_pct,nbs_toilet_improved_pct,nbs_open_defecation_pct,nbs_food_insecure_pct,nbs_food_severe_pct,nbs_health_far_pct
Ekiti,10.008985435143861,85.72332333766549,75.91171140198747,2.045521676000853,19.131366586477895,18.531101104291352,74.31119398193276,61.304458323313796,19.471958333191765
Enugu,24.309899998103205,74.52724106035356,50.69525528419459,18.57127233240042,16.630953226148037,16.68521206436513,73.62148893870817,70.74849878371265,52.05192359102702
Federal Capital Territory,9.970783908029007,86.67023915959663,75.32879109818228,4.153467702271951,44.96335847991481,19.888956416134498,66.76004080259386,61.22522078597509,15.48691947038156
Gombe,63.54569950787858,35.37015255783141,43.949762305318224,14.007009403540113,13.729848928282784,61.82477194251022,66.04661570454036,58.08539285660663,30.5320947498345
Imo,18.045320430346994,80.20347255742638,84.08765212336856,3.973522679000268,64.68238929799544,22.357676703935883,79.23456796464608,76.18609563494965,40.14616041504892
Jigawa,80.12114681875201,19.123493121428798,92.42089724318761,0.3312191016438798,17.123883788708824,65.0719826058545,59.99869879735539,48.228805224773566,40.72510666310849
Kaduna,32.539445209887326,56.49493220816921,63.912951463103084,12.835477006218685,19.776450515931785,54.39526715130953,74.03014462144318,64.54402018266708,41.50785028165508
Kano,64.13230632971026,34.54601731127792,64.23019287852519,6.927770952878894,21.84419071451035,72.76051766566253,54.83601324076817,43.574409566585,31.698440570107284
Katsina,64.7908679695256,34.84045228995118,62.91262331891085,11.073936566939368,5.7375680098006665,91.186629006764,49.20590741319158,40.731545303882214,34.784257295337724
Kebbi,66.343715752735,28.940190179423713,32.381440065155424,4.184354330413599,11.492450386582062,36.6836041276948,60.12622885363336,51.0205838064014,38.762826327751476
Kogi,30.491268377457846,66.0863773080521,62.92206465036945,19.266033576504004,23.136199493759612,7.71584298221059,88.74236093195019,81.8215701368122,40.04419451102482
Kwara,12.926094120553286,85.70194086156361,81.79511948545274,8.9590249154179,14.598794529286021,6.705113166667326,54.84109647346334,48.78069976307983,30.16452968218357
Lagos,1.123320178590614,91.23743981374574,25.062342980708262,0.0,37.70548739672342,1.1547313158930537,82.8402671455,74.84746608628281,14.789043613794933
Nasarawa,21.302107015041717,77.65931006710447,66.75054833846579,11.879572801215694,21.811033778247722,33.93131951688209,45.27523559945703,36.912191278365256,19.508540660521128
Niger,18.486412505961358,74.5133081502302,54.64792642781011,11.739747387264998,16.615446758844207,42.969944491331155,63.78623173114334,51.985658720141515,43.71221395588202
Ogun,30.426633040173495,64.2694942733118,52.31118111594771,21.394962189618592,14.700461974297427,19.08660620074316,83.75370425523003,78.92756129808971,59.27329857203875
Ondo,16.30854501492651,63.86763154368996,59.20814207404559,5.781512199497573,18.569093093295596,20.195442011950703,38.97107642404365,30.321181351271765,23.406233230047093
Osun,12.475489439461963,79.03439365679785,70.4607747776495,3.1136152292218977,14.689653804353325,30.373489502485807,74.85847178019178,62.694119570682375,20.279446685687365
Oyo,18.057314587201724,78.26586395406817,59.95126040128484,6.985789856624552,20.28084211857625,15.586213693345407,78.79034324391179,73.29178512647496,26.73444057861368
Plateau,37.44021878581399,60.16505623634551,42.709533432679734,22.03128881378653,12.068675229382961,18.114596413116065,88.90983275181041,77.8906744032224,37.74711739707758
Rivers,6.703003672020319,84.89354400549554,67.92885800710461,6.369652328971654,24.10254966749407,13.8655021130811,88.94413945332363,83.20459594987233,37.22513412277159
Sokoto,65.90130033419341,31.463242078875194,42.995147540285195,3.8434183490398106,3.2385137367005807,55.046966745610504,55.47899454861872,41.82567746406588,28.368900939023817
Taraba,26.833148535739266,68.72571450514492,45.7369955505075,23.239000459935998,11.281696111892495,55.3969998077327,91.57801949737016,87.58414764644033,37.398619646232135
Yobe,70.82485785499422,27.479447079725528,83.8349822931871,3.7499492817212765,7.8669612132985,59.36798759947056,80.59696404334,65.56392432197435,43.468230059614314
Zamfara,71.04015004378472,26.726619202078066,59.39872317247132,5.172398566422188,3.9744177914201444,91.79719524287354,82.09076785147722,66.71777010868806,31.35234090242964
