hhid,lat_dd_mod,lon_dd_mod,dist_road2,dist_market,ndvi_avg,anntot_avg,popdensity,srtm_1k,zone,sector,wt_wave4,totcons_pc,log_cons_pc,grid_idx,nearest_dist_km,grid_lon,grid_lat,grid_rwi,grid_deprivation,grid_state
190166.0,11.9615361069,8.4794841485,0.2,6.6,0.281,762.0,27220.0,491.0,3.0,2.0,5499.6083984375,151513.87078421455,11.928432456071985,49047,1.0413432394787985,8.470459,11.9640971,1.281,50.05,Kano
190167.0,11.829167347700002,7.91950109695,0.1,4.6,0.284,880.0,254.0,583.0,3.0,2.0,5499.6083984375,54990.73319549561,10.914919962664394,65938,0.6826571818391344,7.9211426,11.8350943,-0.472,50.05,Kano
190168.0,11.829167347700002,7.91950109695,0.1,4.6,0.284,880.0,254.0,583.0,3.0,2.0,5499.6083984375,92755.96795984902,11.43772732298024,65938,0.6826571818391344,7.9211426,11.8350943,-0.472,50.05,Kano
190169.0,11.829167347700002,7.91950109695,0.1,4.6,0.284,880.0,254.0,583.0,3.0,2.0,5499.6083984375,45175.99501083837,10.718321140914345,65938,0.6826571818391344,7.9211426,11.8350943,-0.472,50.05,Kano
190170.0,11.829167347700002,7.91950109695,0.1,4.6,0.284,880.0,254.0,583.0,3.0,2.0,5499.6083984375,106223.75843949751,11.573303076889266,65938,0.6826571818391344,7.9211426,11.8350943,-0.472,50.05,Kano
190171.0,11.878557637400002,8.44793698763,0.2,12.5,0.298,794.0,1289.0,447.0,3.0,2.0,7596.80322265625,109278.6240541246,11.60165608371258,9426,0.07921928702885213,8.4484863,11.878102,0.38,50.05,Kano
190172.0,11.878557637400002,8.44793698763,0.2,12.5,0.298,794.0,1289.0,447.0,3.0,2.0,7596.80322265625,159134.04986572266,11.97750220692577,9426,0.07921928702885213,8.4484863,11.878102,0.38,50.05,Kano
190173.0,11.878557637400002,8.44793698763,0.2,12.5,0.298,794.0,1289.0,447.0,3.0,2.0,7596.80322265625,90351.3152404785,11.411460853086291,9426,0.07921928702885213,8.4484863,11.878102,0.38,50.05,Kano
190174.0,11.878557637400002,8.44793698763,0.2,12.5,0.298,794.0,1289.0,447.0,3.0,2.0,7596.80322265625,123320.11170959473,11.722538787851075,9426,0.07921928702885213,8.4484863,11.878102,0.38,50.05,Kano
190175.0,11.878557637400002,8.44793698763,0.2,12.5,0.298,794.0,1289.0,447.0,3.0,2.0,7596.80322265625,115738.73908233644,11.659090680670149,9426,0.07921928702885213,8.4484863,11.878102,0.38,50.05,Kano
190176.0,11.878557637400002,8.44793698763,0.2,12.5,0.298,794.0,1289.0,447.0,3.0,2.0,7596.80322265625,126812.74931553434,11.750466862583266,9426,0.07921928702885213,8.4484863,11.878102,0.38,50.05,Kano
190177.0,11.878557637400002,8.44793698763,0.2,12.5,0.298,794.0,1289.0,447.0,3.0,2.0,7596.80322265625,117387.74544949002,11.673237798044472,9426,0.07921928702885213,8.4484863,11.878102,0.38,50.05,Kano
190178.0,11.878557637400002,8.44793698763,0.2,12.5,0.298,794.0,1289.0,447.0,3.0,2.0,7596.80322265625,124908.37978447812,11.73533578581249,9426,0.07921928702885213,8.4484863,11.878102,0.38,50.05,Kano
190179.0,11.878557637400002,8.44793698763,0.2,12.5,0.298,794.0,1289.0,447.0,3.0,2.0,7596.80322265625,107052.3894144694,11.581073614314915,9426,0.07921928702885213,8.4484863,11.878102,0.38,50.05,Kano
190180.0,11.878557637400002,8.44793698763,0.2,12.5,0.298,794.0,1289.0,447.0,3.0,2.0,7596.80322265625,74354.54796006947,11.21660011962168,9426,0.07921928702885213,8.4484863,11.878102,0.38,50.05,Kano
190192.0,11.524148511600002,8.63256828449,4.0,8.8,0.287,948.0,629.0,504.0,3.0,2.0,2623.399658203125,87570.05082350511,11.38019433289186,49400,1.4174098054794826,8.6242676,11.533852,0.083,50.05,Kano
190193.0,11.524148511600002,8.63256828449,4.0,8.8,0.287,948.0,629.0,504.0,3.0,2.0,2623.399658203125,160841.95728759764,11.988177530096564,49400,1.4174098054794826,8.6242676,11.533852,0.083,50.05,Kano
190194.0,11.524148511600002,8.63256828449,4.0,8.8,0.287,948.0,629.0,504.0,3.0,2.0,2623.399658203125,155192.21941375732,11.952419752831256,49400,1.4174098054794826,8.6242676,11.533852,0.083,50.05,Kano
190195.0,11.524148511600002,8.63256828449,4.0,8.8,0.287,948.0,629.0,504.0,3.0,2.0,2623.399658203125,168590.06857299805,12.035225417553924,49400,1.4174098054794826,8.6242676,11.533852,0.083,50.05,Kano
190196.0,11.524148511600002,8.63256828449,4.0,8.8,0.287,948.0,629.0,504.0,3.0,2.0,2623.399658203125,109761.67886081272,11.60606673858629,49400,1.4174098054794826,8.6242676,11.533852,0.083,50.05,Kano
190197.0,11.524148511600002,8.63256828449,4.0,8.8,0.287,948.0,629.0,504.0,3.0,2.0,2623.399658203125,292431.9182363657,12.58598716039539,49400,1.4174098054794826,8.6242676,11.533852,0.083,50.05,Kano
190198.0,11.524148511600002,8.63256828449,4.0,8.8,0.287,948.0,629.0,504.0,3.0,2.0,2623.399658203125,123667.74746195476,11.725353792467812,49400,1.4174098054794826,8.6242676,11.533852,0.083,50.05,Kano
